Timestamp,Emotion,Probabilities
2025-09-04 13:49:12.790339,Sad,"[0.18102867901325226, 0.018882296979427338, 0.14703036844730377, 0.14046858251094818, 0.2846944034099579, 0.02495810016989708, 0.20293757319450378]"
2025-09-04 13:49:12.962041,Sad,"[0.20806065201759338, 0.02294805459678173, 0.16212444007396698, 0.13284899294376373, 0.30562207102775574, 0.019366227090358734, 0.14902961254119873]"
2025-09-04 13:49:13.003576,Sad,"[0.18181492388248444, 0.01921398751437664, 0.15098357200622559, 0.14267019927501678, 0.2774502635002136, 0.028838040307164192, 0.19902904331684113]"
2025-09-04 13:49:13.044146,Surprise,"[0.07434573769569397, 0.007738604210317135, 0.26300206780433655, 0.06210969015955925, 0.10822195559740067, 0.289106547832489, 0.19547539949417114]"
2025-09-04 13:49:13.085616,Sad,"[0.18088798224925995, 0.019222240895032883, 0.16764697432518005, 0.11798902601003647, 0.26839420199394226, 0.04190181940793991, 0.20395778119564056]"
2025-09-04 13:49:13.248721,Sad,"[0.20932716131210327, 0.022022226825356483, 0.1596994251012802, 0.09835771471261978, 0.3478960692882538, 0.011284388601779938, 0.1514129489660263]"
2025-09-04 13:49:13.289592,Sad,"[0.17926834523677826, 0.018684862181544304, 0.15405535697937012, 0.116922527551651, 0.3578616678714752, 0.00866523664444685, 0.1645420789718628]"
2025-09-04 13:49:13.332776,Sad,"[0.18241046369075775, 0.01906636543571949, 0.19003206491470337, 0.07711580395698547, 0.3292721211910248, 0.021276382729411125, 0.1808268427848816]"
2025-09-04 13:49:13.371565,Sad,"[0.18494810163974762, 0.02176145650446415, 0.1572113186120987, 0.20724131166934967, 0.23492716252803802, 0.04506645351648331, 0.1488441675901413]"
2025-09-04 13:49:13.411257,Sad,"[0.19245953857898712, 0.02037389948964119, 0.1717691570520401, 0.10014473646879196, 0.3306255042552948, 0.0166509710252285, 0.16797620058059692]"
2025-09-04 13:49:13.451670,Sad,"[0.16265900433063507, 0.017680877819657326, 0.17269936203956604, 0.12887141108512878, 0.23610897362232208, 0.06877516955137253, 0.2132052183151245]"
2025-09-04 13:49:13.492109,Sad,"[0.2009933590888977, 0.024052541702985764, 0.16288542747497559, 0.19585953652858734, 0.26675471663475037, 0.026276223361492157, 0.12317816913127899]"
2025-09-04 13:49:13.655883,Sad,"[0.1995762586593628, 0.02096410095691681, 0.14454464614391327, 0.1375291645526886, 0.28845199942588806, 0.02307523600757122, 0.18585850298404694]"
2025-09-04 13:49:13.698914,Sad,"[0.16928032040596008, 0.018063275143504143, 0.20410670340061188, 0.08018838614225388, 0.2876185178756714, 0.04312877357006073, 0.19761395454406738]"
2025-09-04 13:49:13.740040,Sad,"[0.17888404428958893, 0.017843740060925484, 0.144887313246727, 0.10589573532342911, 0.3490716516971588, 0.009922746568918228, 0.19349470734596252]"
2025-09-04 13:49:13.782159,Sad,"[0.16122469305992126, 0.018361221998929977, 0.1507827192544937, 0.2052634209394455, 0.213340625166893, 0.06534415483474731, 0.18568310141563416]"
2025-09-04 13:49:13.822873,Sad,"[0.18002541363239288, 0.02002362161874771, 0.14522403478622437, 0.1635296791791916, 0.2408151775598526, 0.046284329146146774, 0.20409777760505676]"
2025-09-04 13:49:13.975954,Sad,"[0.20625297725200653, 0.021692095324397087, 0.14507164061069489, 0.13128703832626343, 0.30406653881073, 0.018112963065505028, 0.17351673543453217]"
2025-09-04 13:49:14.016668,Sad,"[0.1864355504512787, 0.02211504802107811, 0.16177427768707275, 0.20520463585853577, 0.2490009218454361, 0.03591949865221977, 0.13955001533031464]"
2025-09-04 13:49:14.060243,Fear,"[0.09513317048549652, 0.009901908226311207, 0.2642735242843628, 0.05715295299887657, 0.1398943066596985, 0.23146161437034607, 0.20218248665332794]"
2025-09-04 13:49:14.101525,Sad,"[0.20164579153060913, 0.02426973171532154, 0.16465868055820465, 0.19654478132724762, 0.25151798129081726, 0.03500843420624733, 0.1263546198606491]"
2025-09-04 13:49:14.144248,Neutral,"[0.16336847841739655, 0.016684802249073982, 0.15463653206825256, 0.11171558499336243, 0.2365521639585495, 0.06423718482255936, 0.252805233001709]"
2025-09-04 13:49:14.287720,Sad,"[0.20508180558681488, 0.021560361608862877, 0.1444578915834427, 0.1338205337524414, 0.29673928022384644, 0.02023351937532425, 0.17810668051242828]"
